Mass Suggestion,6,,1 action,60 ft.,<= 12 creatures,V,,M,snake's tongue/ honeycomb,,,24 hours,WIS (Fail),,,258,Make creatures accept reasonable sounding suggestions. See Sourcebook.,7th: 10 days;8th:30;9th:366,,,,,,,,,,
True Seeing,6,,1 action,Touch,1 willing creature,V,S,M,OINTMENT FOR EYES,25 gp,,1 hour,,,,284,Target creature gains truesight/ sees secret doors/ Ethereal Plane. Range 120 ft.,,,,,,,,,,,
Etherealness,7,,1 action,Self,Self,V,S,,,,,Up to 8 hours,,,,238,Become ethereal.  Move up/down at half speed.  Can't see past 60 ft.,8th:3 targets;9th: 6 targets,,,,,,,,,,
Finger of Death,7,,1 action,60 ft.,1 creature,V,S,,,,,Instantaneous,CON (Half DAM),Necrotic,DAM: 7d8+30,241,Humanoids killed rise as a zombie next turn permanently under your control.,,,,,,,,,,,
Forcecage,7,,1 action,100 ft.,20 ft. square or 10 ft. cube,V,S,M,ruby dust,1500 gp,,1 hour,See Details.,,,243,Creatures stuck in cage can only leave using magic after CHA save.,,,,,,,,,,,
Plane Shift,7,,1 action,Touch,1 unwilling or Self + 8 willing,V,S,M,forked metal rod,250 gp,,Instantaneous,Melee Spell Attack + CHA (Fail),,,266,Transport to another plane. You specify general location or teleportation circle.,,,,,,,,,,,
Demiplane,8,,1 action,60 ft.,,,S,,,,,1 hour,,,,231,Create door to 30 ft. cubic room in demiplane. Trapped if there when spell ends.,,,,,,,,,,,
Dominate Monster,8,,1 action,60 ft.,1 creature,V,S,,,,Concentration,1 hour,WIS (Fail),,,235,Charm monster to give it commands. Has advantage to save if attacking it.,9th: Duration is 8 hours.,,,,,,,,,,
Feeblemind,8,,1 action,150 ft.,1 creature,V,S,M,clay/crystal/or mineral spheres,,,Instantaneous,INT (DMG/ but no INT effect),Psychic,DAM: 4d6,239,Creature INT and CHA scores become 1.  See Sourcebook.,,,,,,,,,,,
Glibness,8,,1 action,Self,Self,V,,,,,,1 hour,,,,245,Can replace CHA check rolls with a 15. Spells always detect you telling truth.,,,,,,,,,,,
Power Word Stun,8,,1 action,60 ft.,1 creature,V,,,,,,Instantaneous,See Details.,,,267,Target <= 150 HP is stunned. Nothing otherwise. CON save at end of turn to end.,,,,,,,,,,,
Astral Projection,9,,1 hour,10 ft.,Self and 8 willing targets,V,S,M,JACINTH(1k)/ SILVER(100),1100 gp,,Special,,,,215,Project to Astral Plane.  See Sourcebook.,,,,,,,,,,,
Foresight,9,,1 minute,Touch,1 willing creature,V,S,M,hummingbird feather,,,8 hours,,,,244,Not surprised. Advantage:attacks/checks/saves. Disadvantage getting attacked.,,,,,,,,,,,
Imprisonment,9,,1 minute,30 ft.,1 creature,V,S,M,See Sourcebook.,Source.,,Until Dispelled,WIS (Fail),,,252,Magically restrain a creature.  See sourcebook.,,,,,,,,,,,
Power Word Kill,9,,1 action,60 ft.,1 creature,V,,,,,,Instantaneous,,,See Details.,266,If target has <= 100 HP/ it dies instantly. No effect otherwise. No saving throw.,,,,,,,,,,,
True Polymorph,9,,1 action,30 ft.,1 creature or nonmagical object,V,S,M,mercury/ gum arabic/ smoke,,Concentration,1 hour,,,,283,Transform a creature/object into a different creature/object.  See Sourcebook.,,,,,,,,,,,
